  gen    gen_best_fitness       variable0       variable1
  169             0.99028       -1.76167        2.59409
  170             0.99028       -1.76167        2.59409
  171             0.99025       -1.90230        2.48938
  172             0.99014        0.55625        3.07662
  173             0.99021       -2.97035        1.04049
  174             0.99028       -0.38361        3.11537
  175             0.99028       -0.40364        3.11173
  176             0.99028        0.54024        3.08883
  177             0.99027        1.31005        2.85601
  178             0.99026       -1.90177        2.49095
  179             0.99026       -1.90139        2.49095
  180             0.99027       -0.64688        3.07434
  181             0.99027       -1.90224        2.49095
  182             0.99028       -1.20524        2.90102
  183             0.99025       -1.20514        2.90407
  184             0.99028       -1.35165        2.83005
  185             0.99027       -0.73975        3.04567
  186             0.99028       -2.87160        1.25895
  187             0.99027       -0.73974        3.04567
  188             0.99027       -0.73974        3.04567
  189             0.99028       -2.89563        1.21338
  190             0.99025       -1.92564        2.48527
  191             0.99028       -0.40783        3.11116
  192             0.99028       -1.84908        2.53358
  193             0.99028       -1.01955        2.96553
  194             0.99027       -0.65023        3.07386
  195             0.99027       -0.65099        3.07386
  196             0.99028       -2.82925        1.35510
  197             0.99028       -2.82925        1.35510
  198             0.99027       -1.66956        2.66151
  199             0.99028       -0.41968        3.10801

the best
   62             0.99868       -0.03127       -0.01844
